UBLIVE-台灣頻道,#genre#
Astronaut Spacewalk Earth,http://45.11.92.170/play/smart/xziptv.php?id=1026
TLC,http://45.11.92.170/play/smart/xziptv.php?id=1206
UBLIVE-少兒頻道,#genre#
亞洲旅遊,http://45.11.92.170/play/smart/xziptv.php?id=2299
CoComelon,http://45.11.92.170/play/smart/xziptv.php?id=2270
BabyBus,http://45.11.92.170/play/smart/xziptv.php?id=2150
Talking Tom,http://45.11.92.170/play/smart/xziptv.php?id=20
Peppa Pig,http://45.11.92.170/play/smart/xziptv.php?id=1344
CN卡通,http://45.11.92.170/play/smart/xziptv.php?id=107
MOMO親子台,http://45.11.92.170/play/smart/xziptv.php?id=1149
MOMO親子,http://45.11.92.170/play/smart/xziptv.php?id=1126
YOYO TV,http://45.11.92.170/play/smart/xziptv.php?id=293
東森幼幼,http://45.11.92.170/play/smart/xziptv.php?id=371
Animax,http://45.11.92.170/play/smart/xziptv.php?id=59
達文西,http://45.11.92.170/play/smart/xziptv.php?id=68
曼迪日本,http://45.11.92.170/play/smart/xziptv.php?id=316
靖洋卡通,http://45.11.92.170/play/smart/xziptv.php?id=348
BabyFirst,http://45.11.92.170/play/smart/xziptv.php?id=2274
i-Fun動漫,http://45.11.92.170/play/smart/xziptv.php?id=1127
愛放2,http://45.11.92.170/play/smart/xziptv.php?id=299
靖天卡通,http://45.11.92.170/play/smart/xziptv.php?id=344
Nick Jr.,http://45.11.92.170/play/smart/xziptv.php?id=50
nick Jr 台湾版,http://45.11.92.170/play/smart/xziptv.php?id=2281
空中英語教室,http://45.11.92.170/play/smart/xziptv.php?id=313
ELTV生活英語,http://45.11.92.170/play/smart/xziptv.php?id=323
龍華動畫,http://45.11.92.170/play/smart/xziptv.php?id=366
Baby TV,http://45.11.92.170/play/smart/xziptv.php?id=1129
Treehouse,http://45.11.92.170/play/smart/xziptv.php?id=55
Nickj,http://45.11.92.170/play/smart/xziptv.php?id=53
Disney,http://45.11.92.170/play/smart/xziptv.php?id=5
Disneyxd,http://45.11.92.170/play/smart/xziptv.php?id=31
Disneyj,http://45.11.92.170/play/smart/xziptv.php?id=47
Boomerang,http://45.11.92.170/play/smart/xziptv.php?id=57
BBC CBeebies,http://45.11.92.170/play/smart/xziptv.php?id=1588
Dreamworks,http://45.11.92.170/play/smart/xziptv.php?id=48
MY KIDS,http://45.11.92.170/play/smart/xziptv.php?id=1495
廣東少兒,http://45.11.92.170/play/smart/xziptv.php?id=1500
嘉佳卡通,http://45.11.92.170/play/smart/xziptv.php?id=1501
BabyTV,http://45.11.92.170/play/smart/xziptv.php?id=1241
UBLIVE-音樂宗教,#genre#
好消息,http://45.11.92.170/play/smart/xziptv.php?id=104
好消息2,http://45.11.92.170/play/smart/xziptv.php?id=363
